Zeit;Kanal A
(ms);(mV)

-21,07499915;-14,91911000
-21,06999915;-13,98714000
-21,06499915;-13,98714000
-21,05999915;-13,05518000
-21,05499915;-12,58766000
-21,04999915;-12,12168000
-21,04499915;-11,18971000
-21,03999915;-10,72373000
-21,03499915;-8,85826700
-21,02999915;-8,39228500
-21,02499915;-6,52682100
-21,01999915;-5,59485700
-21,01499915;-2,79742800
-21,00999915;-2,32990900
-21,00499915;0,00000000
-20,99999915;0,46598180
-20,99499915;2,32990900
-20,98999915;2,79742800
-20,98499915;4,19537400
-20,97999915;5,12733700
-20,97499915;6,06083900
-20,96999915;6,06083900
-20,96499915;6,52682100
-20,95999915;6,06083900
-20,95499915;6,06083900
-20,94999915;6,52682100
-20,94499915;6,52682100
-20,93999915;6,99280200
-20,93499915;5,12733700
-20,92999915;6,52682100
-20,92499915;6,99280200
-20,91999916;7,45878400
-20,91499916;7,92630300
-20,90999916;9,32424900
-20,90499916;10,72373000
-20,89999916;10,72373000
-20,89499916;10,25621000
-20,88999916;13,05518000
-20,88499916;13,52116000
-20,87999916;13,05518000
-20,87499916;13,98714000
-20,86999916;13,52116000
-20,86499916;14,45312000
-20,85999916;14,45312000
-20,85499916;14,91911000
-20,84999916;14,45312000
-20,84499916;13,52116000
-20,83999916;13,05518000
-20,83499916;13,05518000
-20,82999916;12,12168000
-20,82499916;12,58766000
-20,81999916;10,25621000
-20,81499916;11,65570000
-20,80999916;10,25621000
-20,80499916;9,79023100
-20,79999916;10,72373000
-20,79499916;10,72373000
-20,78999916;10,72373000
-20,78499916;10,25621000
-20,77999916;9,32424900
-20,77499916;9,32424900
-20,76999916;9,79023100
-20,76499916;9,32424900
-20,75999916;8,85826700
-20,75499916;8,39228500
-20,74999916;7,45878400
-20,74499916;6,52682100
-20,73999916;6,99280200
-20,73499916;6,52682100
-20,72999916;6,06083900
-20,72499916;6,06083900
-20,71999916;6,52682100
-20,71499916;6,52682100
-20,70999916;6,06083900
-20,70499916;6,06083900
-20,69999916;4,66135500
-20,69499916;5,59485700
-20,68999916;4,66135500
-20,68499916;4,19537400
-20,67999916;2,79742800
-20,67499916;2,32990900
-20,66999916;0,00000000
-20,66499916;-0,46598180
-20,65999916;-2,32990900
-20,65499916;-3,26341000
-20,64999916;-5,59485700
-20,64499916;-6,06083900
-20,63999916;-6,99280200
-20,63499916;-8,39228500
-20,62999916;-8,39228500
-20,62499916;-8,85826700
-20,61999916;-9,32424900
-20,61499916;-7,45878400
-20,60999916;-9,32424900
-20,60499916;-8,39228500
-20,59999916;-7,92630300
-20,59499916;-8,85826700
-20,58999916;-8,85826700
-20,58499916;-8,85826700
-20,57999916;-9,79023100
-20,57499916;-13,05518000
-20,56999916;-12,58766000
-20,56499916;-13,98714000
-20,55999916;-14,45312000
-20,55499916;-15,85261000
-20,54999916;-16,78457000
-20,54499916;-18,18405000
-20,53999916;-18,65004000
-20,53499916;-18,18405000
-20,52999916;-19,58200000
-20,52499916;-20,04798000
-20,51999917;-18,65004000
-20,51499917;-18,65004000
-20,50999917;-19,11602000
-20,50499917;-18,18405000
-20,49999917;-17,71653000
-20,49499917;-16,78457000
-20,48999917;-15,85261000
-20,48499917;-15,38509000
-20,47999917;-14,91911000
-20,47499917;-13,05518000
-20,46999917;-13,98714000
-20,46499917;-12,58766000
-20,45999917;-12,12168000
-20,45499917;-11,65570000
-20,44999917;-11,18971000
-20,44499917;-10,25621000
-20,43999917;-10,25621000
-20,43499917;-9,79023100
-20,42999917;-9,79023100
-20,42499917;-9,79023100
-20,41999917;-9,32424900
-20,41499917;-9,32424900
-20,40999917;-9,79023100
-20,40499917;-10,72373000
-20,39999917;-10,25621000
-20,39499917;-10,72373000
-20,38999917;-10,72373000
-20,38499917;-10,72373000
-20,37999917;-8,85826700
-20,37499917;-8,85826700
-20,36999917;-9,32424900
-20,36499917;-7,92630300
-20,35999917;-7,92630300
-20,35499917;-6,52682100
-20,34999917;-5,59485700
-20,34499917;-3,72939200
-20,33999917;-2,79742800
-20,33499917;-2,32990900
-20,32999917;-2,79742800
-20,32499917;-1,86392700
-20,31999917;-0,46598180
-20,31499917;0,46598180
-20,30999917;0,46598180
-20,30499917;2,79742800
-20,29999917;2,32990900
-20,29499917;4,66135500
-20,28999917;4,19537400
-20,28499917;3,72939200
-20,27999917;5,12733700
-20,27499917;6,52682100
-20,26999917;7,92630300
-20,26499917;9,32424900
-20,25999917;9,32424900
-20,25499917;10,25621000
-20,24999917;12,12168000
-20,24499917;13,05518000
